
==============================
BACKTEST RESULTS
Symbol:           BTC/USDT
Timeframe:        4h
Candles:          1000
Starting Balance: $1000.00
Final Balance:    $872.77
Strategy Return:  -12.72%
Buy & Hold Return: -37.39%
Total Trades:     29
==============================

DETAILED TRADE RECORD:
Type       | Price        | Time                      | Account Value  
----------------------------------------------------------------------
BUY        | 114311.96    | 2025-09-29 20:00:00       | $1000.00        
SELL       | 116661.50    | 2025-10-10 16:00:00       | $1020.55        
BUY        | 111066.29    | 2025-10-24 08:00:00       | $1020.55        
SELL       | 110751.47    | 2025-10-30 00:00:00       | $1017.66        
BUY        | 105079.99    | 2025-11-10 12:00:00       | $1017.66        
SELL       | 103126.39    | 2025-11-11 16:00:00       | $998.74         
BUY        | 91408.34     | 2025-11-27 04:00:00       | $998.74         
SELL       | 86550.30     | 2025-12-01 04:00:00       | $945.66         
BUY        | 92628.91     | 2025-12-03 00:00:00       | $945.66         
SELL       | 89631.28     | 2025-12-06 08:00:00       | $915.06         
BUY        | 91565.46     | 2025-12-08 04:00:00       | $915.06         
SELL       | 90268.42     | 2025-12-12 20:00:00       | $902.10         
BUY        | 88658.86     | 2025-12-21 20:00:00       | $902.10         
SELL       | 87856.65     | 2025-12-23 08:00:00       | $893.93         
BUY        | 88533.42     | 2025-12-26 08:00:00       | $893.93         
SELL       | 87137.81     | 2025-12-26 12:00:00       | $879.84         
BUY        | 90123.55     | 2025-12-29 00:00:00       | $879.84         
SELL       | 87237.13     | 2025-12-29 20:00:00       | $851.66         
BUY        | 89016.35     | 2025-12-30 12:00:00       | $851.66         
SELL       | 87631.88     | 2026-01-01 04:00:00       | $838.42         
BUY        | 88391.15     | 2026-01-01 16:00:00       | $838.42         
SELL       | 90332.15     | 2026-01-09 16:00:00       | $856.83         
BUY        | 91808.12     | 2026-01-12 00:00:00       | $856.83         
SELL       | 93191.96     | 2026-01-19 08:00:00       | $869.74         
BUY        | 70295.22     | 2026-02-15 08:00:00       | $869.74         
SELL       | 69099.99     | 2026-02-15 12:00:00       | $854.96         
BUY        | 67825.04     | 2026-02-26 04:00:00       | $854.96         
SELL       | 65392.18     | 2026-02-27 16:00:00       | $824.29         
BUY        | 69130.20     | 2026-03-02 12:00:00       | $824.29         
